Round,PLAYER,POS,SCHOOL,Age,Projected 4AV
1,Rashaad Penny,RB,San Diego State,22,27.6
3,Rasheem Green,DE,USC,20,22.2
4,Will Dissly,TE,Washington,21,11
5,Shaquem Griffin,OLB,UCF,22,17.9
5,Tre Flowers,S,Oklahoma State,22,8.2
5,Michael Dickson,P,Texas,21,16.3
5,Jamarco Jones,OT,Ohio State,21,14.3
6,Jake Martin,OLB,Temple,22,9.2
7,Alex McGough,QB,Florida International,22,-4
